Year,Sex,Age,Location,Quantile,Units,Value
2010,,,,,PERCENT,38
2019,,,,,PERCENT,76.8
2019,,,,,PERCENT,41.6
2019,,,,,PERCENT,9.2
2019,,,,,PERCENT,3.2
2019,FEMALE,,,,PERCENT,72.6
2019,FEMALE,,,,PERCENT,39.1
2019,FEMALE,,,,PERCENT,2.9
2019,FEMALE,,,,PERCENT,8.5
2019,MALE,,,,PERCENT,43.1
2019,MALE,,,,PERCENT,3.6
2019,MALE,,,,PERCENT,9.9
2019,MALE,,,,PERCENT,82
