Year,Sex,Age,Location,Units,Value
2000,,,,CU_USD_M,20.0000
2000,,,,CON_USD_M,29.6931
2001,,,,CU_USD_M,0.0000
2001,,,,CON_USD_M,0.0000
2002,,,,CU_USD_M,0.0000
2002,,,,CON_USD_M,0.0000
2003,,,,CU_USD_M,0.0000
2003,,,,CON_USD_M,0.0000
2004,,,,CU_USD_M,0.0000
2004,,,,CON_USD_M,0.0000
2005,,,,CU_USD_M,0.0000
2005,,,,CON_USD_M,0.0000
2006,,,,CU_USD_M,0.0000
2006,,,,CON_USD_M,0.0000
2007,,,,CU_USD_M,0.0000
2007,,,,CON_USD_M,0.0000
2008,,,,CU_USD_M,0.0000
2008,,,,CON_USD_M,0.0000
2009,,,,CU_USD_M,0.0000
2009,,,,CON_USD_M,0.0000
2010,,,,CU_USD_M,0.0000
2010,,,,CON_USD_M,0.0000
2011,,,,CU_USD_M,0.0000
2011,,,,CON_USD_M,0.0000
2012,,,,CU_USD_M,0.0000
2012,,,,CON_USD_M,0.0000
2013,,,,CU_USD_M,0.0000
2013,,,,CON_USD_M,0.0000
2014,,,,CU_USD_M,0.0000
2014,,,,CON_USD_M,0.0000
2015,,,,CU_USD_M,0.0000
2015,,,,CON_USD_M,0.0000
2016,,,,CU_USD_M,0.0000
2016,,,,CON_USD_M,0.0000
2017,,,,CU_USD_M,0.0000
2017,,,,CON_USD_M,0.0000
2018,,,,CU_USD_M,0.0000
2018,,,,CON_USD_M,0.0000
2019,,,,CU_USD_M,0.0000
2019,,,,CON_USD_M,0.0000
2020,,,,CU_USD_M,620.0000
2020,,,,CON_USD_M,600.0000
